id,sport,cat1,cat2,cat3,cat4,cat5
"""Beach Volleyball""","""Beachvolleyball""","""Aufschlag""","""Annahme""","""Zuspiel""","""Angriff""","""Block/Dig"""
"""Tennis""","""Tennis""","""Aufschlag""","""Return""","""Volley""","""Vorhand""","""Rückhand"""
"""Volleyball""","""Volleyball""","""Skill Level""","""nil""","""nil""","""nil""","""nil"""
"""Badminton""","""Badminton""","""Aufschlag""","""Verteidigung""","""Angriff""","""nil""","""nil"""
"""Running""","""Laufen""","""Sill Level""","""nil""","""nil""","""nil""","""nil"""
